code5,scan_date,ccass_asof_date,ccass_top10_pct,ccass_top5_pct,ccass_top10_delta,ccass_window_days,ccass_suspect_denominator,ccass_top10_pct_known,concentration_rising,hd_top10_pct_of_ccass,hd_asof_date,hd_top10_delta,dump_asof_date,dump_c10_shares,dump_issued_shares,dump_top10_pct_of_issued,dump_top10_pct_of_issued_raw,dump_top10_delta_shares,dump_window_days,dump_concentration_rising,dump_corp_action_in_window,dump_issued_missing
08283,2025-07-15,,,,,,,0,,,,,2025-07-11,29988093.0,345600000.0,8.6771,8.6771,-2100.0,68.0,0.5,0,0
00234,2025-07-15,,,,,,,0,,,,,2025-07-11,2800931355.0,5780368705.0,48.4559,48.4559,-879450.0,68.0,0.5,0,0
00804,2025-07-15,,,,,,,0,,,,,2025-07-11,366084356.0,68800013.0,,532.0993,29485000.0,68.0,,0,0
00474,2025-07-15,,,,,,,0,,,,,2025-07-11,6525869653.0,8858126805.0,73.671,73.671,-17955514.0,68.0,0.5,0,0
01527,2025-07-15,,,,,,,0,,,,,2025-07-11,17873045.0,135000000.0,13.2393,13.2393,96045.0,68.0,0.5,0,0
01861,2025-07-15,,,,,,,0,,,,,2025-07-11,217446500.0,233917250.0,92.9587,92.9587,442000.0,68.0,0.5,0,0
01802,2025-07-16,,,,,,,0,,,,,2025-07-14,542322164.0,831600000.0,65.2143,65.2143,163213814.0,69.0,1.0,0,0
08416,2025-07-16,,,,,,,0,,,,,2025-07-14,169395000.0,421415000.0,40.1967,40.1967,-2340000.0,69.0,0.5,0,0
00559,2025-07-16,,,,,,,0,,,,,2025-07-14,429582831.0,523184390.0,82.1093,82.1093,-9144191.0,69.0,0.0,0,0
00871,2025-07-16,,,,,,,0,,,,,2025-07-14,496749251.0,1503881500.0,33.0311,33.0311,-9355200.0,69.0,0.5,0,0
00261,2025-07-16,,,,,,,0,,,,,2025-07-14,166350193.0,331361678.0,50.202,50.202,-22488840.0,69.0,0.0,0,0
08239,2025-07-16,,,,,,,0,,,,,2025-07-14,85532262.0,97768961.0,87.4841,87.4841,5822786.0,69.0,1.0,0,0
06933,2025-07-16,,,,,,,0,,,,,2025-07-14,317928010.0,428002816.0,74.2818,74.2818,488000.0,69.0,0.5,0,0
