code5,date,source_change_pct,high,prev_close,max_pct,n_max_est,t5_return_pct,t10_return_pct,t20_return_pct
08529,2026-05-15,30.95,0.581,0.411,41.3625,2.0,-1.9194,1.7274,-15.547
01894,2026-05-15,20.59,0.435,0.34,27.9412,1.0,-5.0633,-6.3291,-6.3291
08549,2026-05-15,28.32,0.295,0.226,30.531,1.0,-8.6207,-14.8276,-22.7586
01559,2026-05-18,43.33,0.094,0.06,56.6667,2.0,-17.8571,-36.9048,-39.2857
03997,2026-05-18,22.02,2.06,1.68,22.619,1.0,-5.3191,35.6383,40.9574
01536,2026-05-18,28.85,0.335,0.26,28.8462,1.0,-23.8806,-16.4179,-16.4179
06893,2026-05-19,72.06,0.415,0.136,205.1471,10.0,-8.7719,-16.1404,-22.807
06893,2026-05-19,94.85,0.415,0.136,205.1471,10.0,-8.7719,-16.1404,-22.807
02370,2026-05-19,27.84,1.25,0.97,28.866,1.0,10.8911,0.9901,8.9109
06893,2026-05-19,135.29,0.415,0.136,205.1471,10.0,-8.7719,-16.1404,-22.807
06893,2026-05-19,168.38,0.415,0.136,205.1471,10.0,-8.7719,-16.1404,-22.807
06893,2026-05-19,179.41,0.415,0.136,205.1471,10.0,-8.7719,-16.1404,-22.807
06893,2026-05-19,190.44,0.415,0.136,205.1471,10.0,-8.7719,-16.1404,-22.807
03321,2026-05-19,21.05,1.87,1.52,23.0263,1.0,-19.2513,-18.1818,-25.1337
08120,2026-05-20,28.18,1.75,1.1,59.0909,2.0,47.4286,24.0,30.8571
08187,2026-05-20,21.57,0.63,0.51,23.5294,1.0,-11.6667,-11.6667,-17.5
01340,2026-05-20,29.41,0.576,0.408,41.1765,2.0,-3.5088,8.7719,50.8772
08120,2026-05-20,40.00,1.75,1.1,59.0909,2.0,47.4286,24.0,30.8571
08120,2026-05-20,59.09,1.75,1.1,59.0909,2.0,47.4286,24.0,30.8571
01340,2026-05-21,49.12,0.72,0.456,57.8947,2.0,-19.1176,7.3529,19.1176
