"編號","名稱","資產淨值","資產淨值+ 殼價","市值","流通市值","理論價","現價","溢價/折讓","內資股(佔比)","最近3年盈利","CCASS頭5+ 非流通 ","券商數目","上市日","招股價","行業"
08222.hk,壹照明,7.2百萬,1.1億,2.6千萬,1.4千萬,0.24,0.05,-78.12%,-,-1.6千萬,76.19%,112,2014/09/29,0.5,N/A
01459.hk,巨匠建設,17.9億,20.9億,2.6千萬,2.6千萬,3.91,0.21,-94.74%,-,-4.7千萬,63.28%,96,2016/01/12,1.35,建築及建築材料
08519.hk,新享時代,87.0萬,1.0億,2.6千萬,1.6千萬,0.70,0.18,-74.56%,-,-6.3百萬,87.22%,100,2018/02/08,0.3,N/A
01000.hk,北青傳媒,6.8億,9.8億,2.5千萬,2.4千萬,4.96,0.45,-90.92%,-,-10.0千萬,66.73%,129,2004/12/22,18.95,影視及傳媒
01166.hk,星凱控股,6.1億,9.1億,2.5千萬,2.5千萬,6.42,0.17,-97.32%,-,-4.1億,72.28%,219,1996/12/12,1.2,金屬及採礦
01862.hk,景瑞控股,-56.7億,-53.7億,2.5千萬,2.3千萬,N/A,0.02,N/A,-,-99.2億,63.5%,126,2013/10/31,4.45,地產
01889.hk,三愛健康集團,3.5億,6.5億,2.5千萬,2.3千萬,4.23,0.17,-96.06%,-,1.2百萬,63.62%,210,2007/02/01,1.8,保健及生物科技
08173.hk,客思控股,2.1千萬,1.2億,2.5千萬,1.2千萬,0.56,0.12,-78.70%,-,-1.6千萬,83.94%,180,2002/05/09,0.33,N/A
08091.hk,奧傳思維控股,1.7千萬,1.2億,2.5千萬,6.7百萬,0.16,0.04,-78.51%,-,-2.1千萬,91.32%,91,2017/01/05,0.27,N/A
08513.hk,加和國際控股,N/A,N/A,2.5千萬,2.2千萬,N/A,0.31,N/A,-,-10.0百萬,70.05%,99,2018/01/19,0.65,N/A
08511.hk,民富國際,80.9萬,1.0億,2.5千萬,2.4千萬,3.24,0.70,-78.41%,-,-7.6千萬,79.83%,114,2018/04/20,0.65,N/A
08623.hk,中國蜀塔,-1.1億,-1.4千萬,2.5千萬,1.3千萬,N/A,0.14,N/A,-,-2.5億,88.9%,93,2020/07/10,0.3,N/A
00061.hk,綠領控股,-5.3億,-2.3億,2.4千萬,2.4千萬,N/A,0.18,N/A,-,3.8億,59.26%,222,1999/07/06,1.28,金屬及採礦
08019.hk,皓文控股,3.2億,4.2億,2.4千萬,2.0千萬,1.19,0.07,-93.96%,-,-2.0千萬,63.69%,178,2001/07/20,0.495,N/A
08277.hk,駿東控股,-52.5萬,9.9千萬,2.4千萬,2.0千萬,0.38,0.09,-76.25%,-,-2.3百萬,88.2%,96,2015/02/23,1.2,N/A
08401.hk,華夏水務集團,4.6千萬,1.5億,2.4千萬,2.3千萬,0.18,0.03,-82.68%,-,-2.8千萬,73.98%,107,2018/03/28,1.05,N/A
08482.hk,萬勵達,2.5千萬,1.3億,2.4千萬,2.0千萬,0.70,0.13,-81.19%,-,-5.0千萬,78.64%,103,2018/09/05,0.275,N/A
08169.hk,環康集團,1.1億,2.1億,2.3千萬,1.0千萬,0.33,0.04,-88.65%,-,91.9萬,81.9%,86,2001/12/05,0.238,N/A
02738.hk,華津國際控股,-9.9億,-6.9億,2.3千萬,2.2千萬,N/A,0.04,N/A,-,-14.2億,89.82%,75,2016/04/15,2.38,金屬及採礦
