scan_date,code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
2026-08-31,01746,1746.HK,萬順集團控股,0.54,17.39,8769320,540000000,540000000,72940,120.23,1.62,10,0,0,2026-09-08 07:26:45
2026-08-31,09689,9689.HK,金泰豐國際控股,0.495,-10.0,1230680,552420000,552420000,122662,10.03,0.22,10,0,0,2026-09-08 07:26:46
2026-08-31,03406,3406.HK,平安科技精選,15.03,-0.2,2457138,559867500,,150292,16.35,0.44,10,0,0,2026-09-08 07:26:46
2026-08-31,01669,1669.HK,環球信貸集團,1.47,-4.85,1848410,588000000,588000000,131169,14.09,0.31,10,0,0,2026-09-08 07:26:45
2026-08-31,03477,3477.HK,平安東西精選,17.7,-0.78,1719706,654900000,,68458,25.12,0.26,10,0,0,2026-09-08 07:26:46
2026-08-31,02515,2515.HK,天津建發,2.58,19.17,1785420,801716292,801716292,86915,20.54,0.22,10,0,0,2026-09-08 07:26:46
2026-09-01,00646,646.HK,中國環保科技,0.118,-16.9,750736,40438357,40438357,32926,22.8,1.86,10,0,0,2026-09-08 07:26:46
2026-09-01,08051,8051.HK,訊智海,2.46,0.0,2190876,64055406,64055406,2028,1080.42,3.42,10,0,0,2026-09-08 07:26:47
2026-09-01,01340,1340.HK,惠生國際,0.525,0.0,2342780,72673492,72673492,71142,32.93,3.22,10,0,0,2026-09-08 07:26:46
2026-09-01,08187,8187.HK,積木集團,0.525,0.0,4920900,79634016,79634016,76542,64.29,6.18,10,0,0,2026-09-08 07:26:47
2026-09-01,01891,1891.HK,興合控股,0.159,-0.62,599268,159000000,159000000,36889,16.25,0.38,10,0,0,2026-09-08 07:26:47
2026-09-01,01901,1901.HK,飛揚集團,0.167,-1.18,1379304,166732800,166732800,24921,55.35,0.83,10,0,0,2026-09-08 07:26:47
2026-09-01,02048,2048.HK,易居企業控股,0.109,289.29,36344772,190647489,190647489,697582,52.1,19.06,10,0,0,2026-09-08 07:26:47
2026-09-01,00910,910.HK,中國三迪,0.042,180.0,5891988,213704717,213704717,134341,43.86,2.76,10,0,0,2026-09-08 07:26:46
2026-09-01,01792,1792.HK,CMON,0.925,0.54,2176089,229104000,229104000,162905,13.36,0.95,10,0,0,2026-09-08 07:26:47
2026-09-01,01455,1455.HK,科利實業控股,0.285,14.0,959000,364390312,364390312,69544,13.79,0.26,10,0,0,2026-09-08 07:26:47
2026-09-01,01420,1420.HK,川控股,0.28,21.74,1526980,375942336,375942336,25764,59.27,0.41,10,0,0,2026-09-08 07:26:47
2026-09-01,00244,244.HK,先施,0.3,-1.64,1060140,394188768,394188768,71529,14.82,0.27,10,0,0,2026-09-08 07:26:46
2026-09-01,03411,3411.HK,PP亞洲美債,77.18,-0.05,970054,401336000,,14677,66.09,0.24,10,0,0,2026-09-08 07:26:47
2026-09-02,00997,997.HK,普匯中金國際,0.028,64.71,1214508,32740057,32740057,8246,147.28,3.71,10,0,0,2026-09-08 07:26:47
2026-09-02,01195,1195.HK,京維集團,0.019,26.67,3000296,54987743,54987743,10919,274.79,5.46,10,0,0,2026-09-08 07:26:48
2026-09-02,08082,8082.HK,擎華控股,0.022,10.0,2374570,58801945,58801945,61811,38.42,4.04,10,0,0,2026-09-08 07:26:48
2026-09-02,00646,646.HK,中國環保科技,0.185,56.78,2390804,63399119,63399119,108000,22.14,3.77,10,0,0,2026-09-08 07:26:47
2026-09-02,08187,8187.HK,積木集團,0.53,0.95,9750670,80392435,80392435,568632,17.15,12.13,10,0,0,2026-09-08 07:26:48
2026-09-02,03639,3639.HK,億達中國,0.035,2.94,10438674,90438950,90438950,302812,34.47,11.54,10,0,0,2026-09-08 07:26:48
2026-09-02,00653,653.HK,卓悅控股,0.06,36.36,3114072,112492684,112492684,221968,14.03,2.77,10,0,0,2026-09-08 07:26:47
2026-09-02,00328,328.HK,ALCO HOLDINGS,0.475,7.95,5706150,136036271,136036271,392775,14.53,4.19,10,0,0,2026-09-08 07:26:47
2026-09-02,01894,1894.HK,恆益控股,0.625,14.68,2003784,145848125,145848125,198250,10.11,1.37,10,0,0,2026-09-08 07:26:48
2026-09-02,02320,2320.HK,合豐集團,0.2,-3.85,2477876,163528800,163528800,206975,11.97,1.52,10,0,0,2026-09-08 07:26:48
2026-09-02,01094,1094.HK,承輝國際,0.425,6.25,8160341,302181466,302181466,98367,82.96,2.7,10,0,0,2026-09-08 07:26:48
2026-09-02,00672,672.HK,眾安集團,0.08,0.0,634097,450864784,450864784,42404,14.95,0.14,10,0,0,2026-09-08 07:26:47
2026-09-02,08229,8229.HK,未來數據集團,0.815,-1.81,2659100,452716200,452716200,217592,12.22,0.59,10,0,0,2026-09-08 07:26:48
2026-09-02,00149,149.HK,中國農產品交易,0.063,0.0,821431,627043273,627043273,76110,10.79,0.13,10,0,0,2026-09-08 07:26:47
2026-09-02,02120,2120.HK,康寧醫院,10.18,0.79,3462166,716662838,274101173,130584,26.51,0.48,10,0,0,2026-09-08 07:26:48
2026-09-02,06676,6676.HK,找鋼網-W,0.75,4.17,2093645,803796283,803796283,116128,18.03,0.26,10,0,0,2026-09-08 07:26:48
2026-09-03,03410,3410.HK,恆生日本東證一百,7.31,1.67,2224160,48756238,,218004,10.2,4.56,10,0,0,2026-09-08 07:26:49
2026-09-03,00923,923.HK,綜合環保集團,0.017,6.25,531466,81991153,81991153,3971,133.84,0.65,10,0,0,2026-09-08 07:26:49
2026-09-03,08237,8237.HK,華星控股,0.58,9.43,2184930,116593920,116593920,72576,30.11,1.87,10,0,0,2026-09-08 07:26:49
2026-09-03,01996,1996.HK,弘陽地產,0.037,32.14,1918645,123539226,123539226,22475,85.37,1.55,10,0,0,2026-09-08 07:26:49
2026-09-03,03708,3708.HK,中國供應鏈產業,0.189,-1.05,1556240,137455920,137455920,46155,33.72,1.13,10,0,0,2026-09-08 07:26:49
2026-09-03,02320,2320.HK,合豐集團,0.217,8.5,5883974,177428748,177428748,441826,13.32,3.32,10,0,0,2026-09-08 07:26:49
2026-09-03,01792,1792.HK,CMON,1.0,-1.96,5686171,247680000,247680000,407234,13.96,2.3,10,0,0,2026-09-08 07:26:49
2026-09-03,01314,1314.HK,翠華控股,0.185,-1.6,593880,261076893,261076893,39080,15.2,0.23,10,0,0,2026-09-08 07:26:49
2026-09-03,01939,1939.HK,上善黃金,0.53,0.0,3290350,271296400,271296400,327811,10.04,1.21,10,0,0,2026-09-08 07:26:49
2026-09-03,01265,1265.HK,天津津燃公用,0.151,0.67,651250,277735478,75509060,4901,132.88,0.23,10,0,0,2026-09-08 07:26:49
2026-09-03,01407,1407.HK,交運燃氣,0.665,14.66,1161340,292600000,292600000,115967,10.01,0.4,10,0,0,2026-09-08 07:26:49
2026-09-03,09982,9982.HK,中原建業,0.103,9.57,2855582,477777554,477777554,171109,16.69,0.6,10,0,0,2026-09-08 07:26:50
2026-09-03,02863,2863.HK,高豐集團控股,0.71,4.41,48197910,489552810,489552810,899912,53.56,9.85,10,0,0,2026-09-08 07:26:49
2026-09-03,06182,6182.HK,乙德投資控股,0.65,28.71,132050520,520000000,520000000,5633008,23.44,25.39,10,0,0,2026-09-08 07:26:49
2026-09-03,02779,2779.HK,中國新華教育,0.34,4.62,1369525,546918220,546918220,126538,10.82,0.25,10,0,0,2026-09-08 07:26:49
